File version,2
Missing data value,-9999
EOM
Project name,Chowilla and Pike_4.7_NoWeirs
Source version,5.4.0.11476
Latest result run time,2021-03-01 13:24:45
Simulation time,2013-01-02 - 2017-07-01
Field,Units,RunName,ScenarioName,ScenarioInputSetName,Name,Site,ElementName,WaterFeatureType,ElementType,Structure,Custom
EOC
229
27,m^3,,Lumped,,Confluence: Confluence 5: Upstream Flow Volume,Confluence 5,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
28,m^3.s^-1,,Lumped,,Controlled Splitter: BankB Offtake: Downstream Flow,BankB Offtake,Downstream Flow,Controlled Splitter,Node,Downstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
29,m^3,,Lumped,,Controlled Splitter: BankB Offtake: Downstream Flow Volume,BankB Offtake,Downstream Flow Volume,Controlled Splitter,Node,Downstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
30,m^3,,Lumped,,Controlled Splitter: BankB Offtake: Storage Volume,BankB Offtake,Storage Volume,Controlled Splitter,Node,Storage Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
31,m^3.s^-1,,Lumped,,Controlled Splitter: BankB Offtake: Upstream Flow,BankB Offtake,Upstream Flow,Controlled Splitter,Node,Upstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
32,m^3,,Lumped,,Controlled Splitter: BankB Offtake: Upstream Flow Volume,BankB Offtake,Upstream Flow Volume,Controlled Splitter,Node,Upstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
33,m^3.s^-1,,Lumped,,Controlled Splitter: Pike Inlet: Downstream Flow,Pike Inlet,Downstream Flow,Controlled Splitter,Node,Downstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
34,m^3,,Lumped,,Controlled Splitter: Pike Inlet: Downstream Flow Volume,Pike Inlet,Downstream Flow Volume,Controlled Splitter,Node,Downstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
35,m^3,,Lumped,,Controlled Splitter: Pike Inlet: Storage Volume,Pike Inlet,Storage Volume,Controlled Splitter,Node,Storage Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
36,m^3.s^-1,,Lumped,,Controlled Splitter: Pike Inlet: Upstream Flow,Pike Inlet,Upstream Flow,Controlled Splitter,Node,Upstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
37,m^3,,Lumped,,Controlled Splitter: Pike Inlet: Upstream Flow Volume,Pike Inlet,Upstream Flow Volume,Controlled Splitter,Node,Upstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
38,m^3.s^-1,,Lumped,,Controlled Splitter: Rump Splitter 1: Downstream Flow,Rump Splitter 1,Downstream Flow,Controlled Splitter,Node,Downstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
39,m^3,,Lumped,,Controlled Splitter: Rump Splitter 1: Downstream Flow Volume,Rump Splitter 1,Downstream Flow Volume,Controlled Splitter,Node,Downstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
40,m^3,,Lumped,,Controlled Splitter: Rump Splitter 1: Storage Volume,Rump Splitter 1,Storage Volume,Controlled Splitter,Node,Storage Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
41,m^3.s^-1,,Lumped,,Controlled Splitter: Rump Splitter 1: Upstream Flow,Rump Splitter 1,Upstream Flow,Controlled Splitter,Node,Upstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
42,m^3,,Lumped,,Controlled Splitter: Rump Splitter 1: Upstream Flow Volume,Rump Splitter 1,Upstream Flow Volume,Controlled Splitter,Node,Upstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
43,m^3.s^-1,,Lumped,,Controlled Splitter: Rump Splitter 2: Downstream Flow,Rump Splitter 2,Downstream Flow,Controlled Splitter,Node,Downstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
44,m^3,,Lumped,,Controlled Splitter: Rump Splitter 2: Downstream Flow Volume,Rump Splitter 2,Downstream Flow Volume,Controlled Splitter,Node,Downstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
45,m^3,,Lumped,,Controlled Splitter: Rump Splitter 2: Storage Volume,Rump Splitter 2,Storage Volume,Controlled Splitter,Node,Storage Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
46,m^3.s^-1,,Lumped,,Controlled Splitter: Rump Splitter 2: Upstream Flow,Rump Splitter 2,Upstream Flow,Controlled Splitter,Node,Upstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
47,m^3,,Lumped,,Controlled Splitter: Rump Splitter 2: Upstream Flow Volume,Rump Splitter 2,Upstream Flow Volume,Controlled Splitter,Node,Upstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
48,m^3.s^-1,,Lumped,,Gauge: Gauge 14: Downstream Flow,Gauge 14,Downstream Flow,Gauge,Node,Downstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
